Title	Assignees	Status	Start date	End date	Iteration	Hours Completed
Get signatures from Sponsors for Proposal	parkeramber	Done	Sep 23, 2024	Sep 24, 2024	Sprint 2	0.5
Get Jim's Signature for Proposal	parkeramber	Done	Sep 23, 2024	Sep 24, 2024	Sprint 2	0.25
Email Jake and Diego about Proposal draft	parkeramber	Done	Sep 20, 2024	Sep 20, 2024	Sprint 2	0.25
Set up Reoccurring zoom meeting link with sponsors	parkeramber	Done	Sep 23, 2024	Sep 23, 2024	Sprint 2	0.25
Camera angle placement drawing	carlywingness, JohnDT-MechE	Done	Sep 19, 2024	Sep 19, 2024	Sprint 2	1
Team Evaluation: System Requirements	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Sep 27, 2024	Oct 10, 2024	Sprint 3	0.5
System Requirements Document:8.0-Ability to formulate a design problem for specified needs and technical requirements (O2a)	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Sep 27, 2024	Oct 7, 2024	Sprint 3	0.5
Assign everyone to a part of the Systems Requirement Document	parkeramber	Done	Sep 27, 2024	Sep 29, 2024	Sprint 2	0.5
scope for SRD	parkeramber	Done	Sep 30, 2024	Oct 8, 2024	Sprint 3	0.25
All requirements by system for SRD	DiegoG185593, parkeramber	Done	Sep 30, 2024	Oct 4, 2024	Sprint 3	1.5
verification matrix for SRD	carlywingness, DiegoG185593	Done	Sep 30, 2024	Oct 4, 2024	Sprint 3	1
SRD-Definitions, acronyms, and abbreviations	aidancler24	Done	Sep 30, 2024	Oct 4, 2024	Sprint 3	1
SRD-requirements verification	carlywingness	Done	Sep 30, 2024	Oct 4, 2024	Sprint 3	1
Reference for SRD	JohnDT-MechE	Done	Sep 30, 2024	Oct 4, 2024	Sprint 3	0.5
SRD-Standards and help out with referenced documents	m-colson	Done	Sep 30, 2024	Oct 4, 2024	Sprint 3	1
Send requirements matrix to Jake and Diego	parkeramber	Done	Sep 30, 2024	Oct 4, 2024	Sprint 3	0.25
Yolo equation for prototyping plan	parkeramber	Done	Sep 30, 2024	Oct 3, 2024	Sprint 3	0.25
Power Equation for Prototyping Plan	carlywingness, JohnDT-MechE	Done	Sep 30, 2024	Oct 3, 2024	Sprint 3	0.5
Camera Equation for prototyping plan	m-colson	Done	Sep 30, 2024	Oct 3, 2024	Sprint 3	0.25
SRD- Reference spec sheet for cameras	m-colson	Done	Sep 30, 2024	Oct 4, 2024	Sprint 3	0.5
Requirements Scrimmage slides setup	JohnDT-MechE	Done	Oct 3, 2024	Oct 3, 2024	Sprint 3	1
Background for scrimmage slides	aidancler24	Done	Oct 3, 2024	Oct 7, 2024	Sprint 3	
Requirements for slides	parkeramber	Done	Oct 3, 2024	Oct 7, 2024	Sprint 4	0.5
Camera Research	carlywingness	Done	Oct 3, 2024	Oct 3, 2024	Sprint 3	1.5
Summary for scrimmage slides	DiegoG185593	Done	Oct 3, 2024	Oct 7, 2024	Sprint 3	1
Importance and Significance for scrimmage slides	JohnDT-MechE	Done	Oct 3, 2024	Oct 7, 2024	Sprint 3	1
Email Jake and Diego about scheduling a tour	parkeramber	Done	Oct 2, 2024	Oct 4, 2024	Sprint 3	0.25
Email Jake and Diego PDR information	parkeramber	Done	Oct 2, 2024	Oct 6, 2024	Sprint 3	0.25
Edit Code for PDR to include individual tasks for each team member with hours	parkeramber	Done	Oct 1, 2024	Oct 11, 2024	Sprint 3	1
Update Electronics Schematic PDR	JohnDT-MechE	Done	Oct 21, 2024	Oct 22, 2024	Sprint 4	1
MVP SolidWorks Base Assembly	JohnDT-MechE	Done	Oct 20, 2024	Oct 21, 2024	Sprint 4	5.5
GUI UI for PDR	parkeramber	Done	Oct 15, 2024	Oct 18, 2024	Sprint 4	0.5
MVP CAD drawings for PDR	carlywingness	Done	Oct 15, 2024	Oct 18, 2024	Sprint 4	1
Key components selected for PDR	aidancler24, carlywingness	Done	Oct 15, 2024	Oct 20, 2024	Sprint 4	1
Initial physical configuration for PDR	aidancler24, carlywingness	Done	Oct 15, 2024	Oct 20, 2024	Sprint 4	1
Software/firmware for PDR	m-colson, parkeramber	Done	Oct 15, 2024	Oct 20, 2024	Sprint 4	2
Risk/Mitigation  for PDR	parkeramber	Done	Oct 15, 2024	Oct 20, 2024	Sprint 4	1
Project Plan, Status, Deliverables, & Budget Analysis for PDR	DiegoG185593, parkeramber	Done	Oct 15, 2024	Oct 20, 2024	Sprint 4	1
PDR Key Components and Trade	carlywingness	Done	Oct 17, 2024	Oct 22, 2024	Sprint 4	1
CDR Email Sponsor to Review	parkeramber	Todo	Nov 29, 2024	Nov 29, 2024	Sprint 6	
Practice CDR	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Nov 25, 2024	Oct 28, 2024	Sprint 6	
Revise CDR	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Nov 25, 2024	Nov 29, 2024	Sprint 6	
Testing Prototype	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Oct 31, 2024	Nov 15, 2024	Sprint 5	2
Prototype and GUI Development 	m-colson, parkeramber	Done	Oct 21, 2024	Nov 3, 2024	Sprint 4	2
Electrical Schematic PDR	JohnDT-MechE	Done	Oct 20, 2024	Oct 21, 2024	Sprint 4	1
PDR System Block Diagram	carlywingness	Done	Oct 14, 2024	Oct 22, 2024	Sprint 4	0.25
PDR Design Concept	carlywingness	Done	Oct 14, 2024	Oct 22, 2024	Sprint 4	4
PDR Key Components	carlywingness	Done	Oct 14, 2024	Oct 22, 2024	Sprint 4	2
PDR MVP1	carlywingness	Done	Oct 14, 2024	Oct 22, 2024	Sprint 4	3
PDR Slides Review	carlywingness	Done	Oct 18, 2024	Oct 22, 2024	Sprint 4	5
Implement Basic Reverse Projection Algorithm	m-colson	Done	Oct 18, 2024	Oct 31, 2024	Sprint 4	20
Prototype Static Tensor Algorithm Generation	m-colson	Done	Sep 24, 2024	Oct 31, 2024	Sprint 4	40
PDR Point Design CAD	aidancler24, carlywingness, JohnDT-MechE	Done	Oct 18, 2024	Oct 21, 2024	Sprint 4	10
Generalize Stitching FrameBuffers for Cameras	m-colson	Done	Oct 29, 2024	Nov 4, 2024	Sprint 4	3
Add Static Image Server Routes	m-colson	Done	Oct 30, 2024	Nov 4, 2024	Sprint 4	1
Setup Websocket Connection Framework	m-colson	In Progress	Nov 1, 2024	Nov 4, 2024	Sprint 4	1
Begin Planning for Client-Server Connection Protocol	m-colson	In Progress	Oct 31, 2024	Nov 4, 2024	Sprint 4	0.5
Parker Meggit Tour	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Nov 12, 2024	Nov 12, 2024	Sprint 5	
Review broken down dates for PDR to CDR update	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	In Progress	Nov 5, 2024	Nov 5, 2024	Sprint 4	1
Have GUI prototype	parkeramber	Todo	Nov 4, 2024	Nov 10, 2024	Sprint 5	
Scope for PDR	parkeramber	Done	Oct 14, 2024	Nov 22, 2024	Sprint 4	0.25
UX for GUI	parkeramber	Done	Oct 14, 2024	Oct 22, 2024	Sprint 3	1.5
Risk/Mitigation	parkeramber	Done	Oct 15, 2024	Oct 22, 2024	Sprint 4	1
Project Plan to CDR Slide	parkeramber	Done	Oct 15, 2024	Oct 22, 2024	Sprint 4	1
Requirements Slide PDR	parkeramber	Done	Oct 14, 2024	Oct 22, 2024	Sprint 4	0.5
Communication TPD Slide PDR	parkeramber	Done	Oct 15, 2024	Oct 22, 2024	Sprint 4	0.5
Project Deliverable Slide	parkeramber	Done	Oct 15, 2024	Oct 22, 2024	Sprint 4	1
PDR Summary Slide	parkeramber	Done	Oct 15, 2024	Oct 22, 2024	Sprint 4	0.5
1st Order Analysis: Cameras Slide PDR	carlywingness, parkeramber	Done	Oct 15, 2024	Oct 22, 2024	Sprint 4	0.5
PDR Dry Run	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Oct 21, 2024	Oct 21, 2024	Sprint 4	1
Research Batteries	JohnDT-MechE	Done	Nov 4, 2024	Nov 5, 2024	Sprint 4	0.5
Email ECE Connections for Electrical System Review	JohnDT-MechE	Done	Nov 4, 2024	Nov 5, 2024	Sprint 4	0.5
PDR Slides	JohnDT-MechE	Done	Oct 15, 2024	Oct 22, 2024	Sprint 4	5.5
PDR Personal Run Thru and Review	JohnDT-MechE	Done	Oct 22, 2024	Oct 29, 2024	Sprint 4	3
Review and Discuss Action Items	JohnDT-MechE	Done	Nov 4, 2024	Nov 4, 2024	Sprint 4	0.5
Diorama Design	carlywingness, JohnDT-MechE	Todo	Nov 5, 2024	Nov 15, 2024	Sprint 5	
Diorama Manufacturing	carlywingness, JohnDT-MechE	Todo	Nov 15, 2024	Nov 25, 2024	Sprint 5	
Fix Framebuffer Update Regression	m-colson	Todo	Nov 4, 2024	Nov 6, 2024	Sprint 5	
Primitive Live Loading Capability	parkeramber	Todo	Nov 4, 2024	Nov 8, 2024	Sprint 5	
CDR Drawings	aidancler24, carlywingness, JohnDT-MechE	Todo	Nov 5, 2024	Nov 25, 2024	Sprint 5	
Determine Transmission Protocol Definition		Todo	Nov 8, 2024	Nov 10, 2024	Sprint 5	
Basic UI Video Transmission	parkeramber	Todo	Nov 4, 2024	Nov 10, 2024	Sprint 5	
Basic Server Video Transmission	m-colson	Todo	Nov 4, 2024	Nov 10, 2024	Sprint 5	
Refine Live Loading Implementation	m-colson	Todo	Nov 6, 2024	Nov 12, 2024	Sprint 5	
Determine Controls API Definition	m-colson, parkeramber	Todo	Nov 6, 2024	Nov 14, 2024	Sprint 5	
Add UI controls	parkeramber	Todo	Nov 6, 2024	Nov 14, 2024	Sprint 5	
Add Server Endpoints for controls	carlywingness	Todo	Nov 6, 2024	Nov 14, 2024	Sprint 5	
Test Prototype	m-colson, parkeramber	Todo	Nov 8, 2024	Nov 15, 2024	Sprint 5	
Add Video Compression to server and client, if necessary	m-colson, parkeramber	Todo	Nov 15, 2024	Nov 19, 2024	Sprint 5	
Add bounding box capability to Transmission Protocol	m-colson, parkeramber	Todo	Nov 19, 2024	Nov 21, 2024	Sprint 5	
Finalize Prototype	m-colson, parkeramber	Todo	Nov 21, 2024	Nov 25, 2024	Sprint 5	
