Title	Assignees	Status	Start date	End date	Iteration	Hours Completed
Customer Furnished Equipment	aidancler24	Done	Sep 16, 2024	Sep 21, 2024	Sprint 2	0.5
Data Restriction	carlywingness	Done	Sep 16, 2024	Sep 21, 2024	Sprint 2	0.25
PSR3	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Sep 19, 2024	Oct 1, 2024	Sprint 3	1
PSR4	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	In Progress	Oct 2, 2024	Oct 15, 2024	Sprint 4	
PSR5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Oct 16, 2024	Nov 5, 2024	Sprint 5	
PSR6	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Nov 6, 2024	Nov 21, 2024	Sprint 6	
Functional Requirements & Functional Block Diagram	aidancler24, DiegoG185593, parkeramber	Done	Sep 12, 2024	Sep 16, 2024	Sprint 2	3
Sponsor meeting @3:30	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Sep 11, 2024	Sep 11, 2024	Sprint 2	0.5
Sponsor meeting @3:30	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Sep 4, 2024	Sep 4, 2024	Sprint 2	0.5
Sponsor meeting @3:30	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Sep 18, 2024	Sep 18, 2024	Sprint 2	0.5
Research Project Fundamentals, modeling & Prototype Plan	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Sep 23, 2024	Oct 3, 2024	Sprint 3	1.5
Requirements Flow Down	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Oct 1, 2024	Oct 8, 2024	Sprint 3	1
Minimum Viable Product Definition	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	In Progress	Oct 8, 2024	Oct 15, 2024	Sprint 4	
Verification Procedures	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Oct 8, 2024	Oct 15, 2024	Sprint 4	
System Requirements Document	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Oct 1, 2024	Oct 10, 2024	Sprint 3	2
PDR Presentation	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	In Progress	Sep 24, 2024	Oct 21, 2024	Sprint 4	
Team Evaluation:Proposal	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Sep 20, 2024	Sep 24, 2024	Sprint 2	1.75
Team Evaluation: System Requirements	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Oct 25, 2024	Oct 29, 2024	Sprint 4	
Team Evaluation: Preliminary Design Review	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Oct 25, 2024	Oct 29, 2024	Sprint 4	
Team Evaluation: Critical Design Review	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Dec 6, 2024	Dec 10, 2024	Sprint 6	
Preliminary Design Review Presentation	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Oct 8, 2024	Oct 22, 2024	Sprint 4	
Critical Design Review Presentation	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Nov 19, 2024	Dec 3, 2024	Sprint 6	
Conduct Reseach on Project options	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Sep 6, 2024	Sep 9, 2024	Sprint 2	2
Team Meeting @ 5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Sep 2, 2024	Sep 2, 2024	Sprint 1	1
Team Meeting @ 5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Sep 9, 2024	Sep 9, 2024	Sprint 2	1
Team Meeting @ 5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Sep 16, 2024	Sep 16, 2024	Sprint 2	1
Team Meeting @ 5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Sep 23, 2024	Sep 23, 2024	Sprint 2	1
Team Meeting @ 5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Sep 30, 2024	Sep 30, 2024	Sprint 2	1
Team Meeting @ 5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Oct 7, 2024	Oct 7, 2024	Sprint 3	1
Team Meeting @ 5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Oct 14, 2024	Oct 14, 2024	Sprint 3	1
Team Meeting @ 5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Oct 21, 2024	Oct 21, 2024	Sprint 4	1
Team Meeting @ 5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Oct 28, 2024	Oct 28, 2024	Sprint 4	1
Team Meeting @ 5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Nov 4, 2024	Nov 4, 2024	Sprint 4	1
Team Meeting @ 5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Nov 11, 2024	Nov 11, 2024	Sprint 5	1
Team Meeting @ 5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Nov 18, 2024	Nov 18, 2024	Sprint 5	1
Team Meeting @ 5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Nov 25, 2024	Nov 25, 2024	Sprint 6	1
Team Meeting @ 5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Dec 2, 2024	Dec 2, 2024	Sprint 6	1
Team Meeting @ 5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Dec 9, 2024	Dec 9, 2024	Sprint 6	1
Schedule a dry run for PDR	parkeramber	Todo	Sep 30, 2024	Sep 30, 2024	Sprint 2	
Break up work for PDR and CDR	parkeramber	Done	Sep 30, 2024	Sep 30, 2024	Sprint 2	1
Email sponsor ConOps and questions for review	parkeramber	Done	Sep 9, 2024	Sep 10, 2024	Sprint 2	0.25
Email professor about sponsor PDR date request for 10/29 to go first	parkeramber	Done	Sep 11, 2024	Sep 12, 2024	Sprint 2	0.25
Facilities/ Equipment in proposal	aidancler24	Done	Sep 16, 2024	Sep 21, 2024	Sprint 2	0.5
Subcontractors and consultants	m-colson	Done	Sep 16, 2024	Sep 21, 2024	Sprint 2	0.25
figure out scrimmage dates	aidancler24	Done	Sep 16, 2024	Sep 20, 2024	Sprint 2	0.25
SBD	carlywingness	Done	Sep 19, 2024	Sep 26, 2024	Sprint 2	2.5
Get signatures from Sponsors for Proposal	parkeramber	Done	Sep 23, 2024	Sep 24, 2024	Sprint 2	0.5
Get Jim's Signature for Proposal	parkeramber	Done	Sep 23, 2024	Sep 24, 2024	Sprint 2	0.25
Email Jake and Diego about Proposal draft	parkeramber	Done	Sep 20, 2024	Sep 20, 2024	Sprint 2	0.25
Set up Reoccurring zoom meeting link with sponsors	parkeramber	Done	Sep 23, 2024	Sep 23, 2024	Sprint 2	0.25
Camera angle placement drawing	carlywingness, JohnDT-MechE	Done	Sep 19, 2024	Sep 19, 2024	Sprint 2	1
Team Evaluation: System Requirements	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Sep 27, 2024	Oct 10, 2024	Sprint 3	
Team Evaluation: Preliminary Design Review	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Oct 27, 2024	Oct 29, 2024	Sprint 4	
System Requirements Document:8.0-Ability to formulate a design problem for specified needs and technical requirements (O2a)	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Sep 27, 2024	Oct 7, 2024	Sprint 3	
Assign everyone to a part of the Systems Requirement Document	parkeramber	Done	Sep 27, 2024	Sep 29, 2024	Sprint 2	0.5
scope for SRD	parkeramber	Done	Sep 30, 2024	Oct 8, 2024	Sprint 3	0.25
All requirements by system for SRD	DiegoG185593	Done	Sep 30, 2024	Oct 4, 2024	Sprint 3	
verification matrix for SRD	DiegoG185593	Done	Sep 30, 2024	Oct 4, 2024	Sprint 3	
SRD-Definitions, acronyms, and abbreviations	aidancler24	Done	Sep 30, 2024	Oct 4, 2024	Sprint 3	
SRD-requirements verification	carlywingness	Done	Sep 30, 2024	Oct 4, 2024	Sprint 3	1
Reference for SRD	JohnDT-MechE	Done	Sep 30, 2024	Oct 4, 2024	Sprint 3	
SRD-Standards and help out with referenced documents	m-colson	Done	Sep 30, 2024	Oct 4, 2024	Sprint 3	
Send requirements matrix to Jake and Diego	parkeramber	Done	Sep 30, 2024	Oct 4, 2024	Sprint 3	0.25
Yolo equation for prototyping plan	parkeramber	Done	Sep 30, 2024	Oct 3, 2024	Sprint 3	0.25
Power Equation for Prototyping Plan	carlywingness, JohnDT-MechE	Done	Sep 30, 2024	Oct 3, 2024	Sprint 3	0.5
Camera Equation for prototyping plan	m-colson	Done	Sep 30, 2024	Oct 3, 2024	Sprint 3	0.25
SRD- Reference spec sheet for cameras	m-colson	Done	Sep 30, 2024	Oct 4, 2024	Sprint 3	
"PDR-3.0	Design Concept Trade Studies, Point Design, “1st order” analysis & experimental results	(15) 4.0	Risk/Mitigation									(10) 5.0	Analysis (Models & Analysis MVP 1, MVP 1 Definition & Experimental Results)"	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Sep 30, 2024	Oct 18, 2024	Sprint 3	
"PDR- 2.0	System Requirements, System Architecture & Requirement flow-down"	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Sep 30, 2024	Oct 18, 2024	Sprint 3	
"PDR-7.0	Project Plan, Status, Deliverables, & Budget Analysis"	DiegoG185593, parkeramber	Todo	Sep 30, 2024	Oct 18, 2024	Sprint 3	
Requirements Scrimmage slides setup	JohnDT-MechE	Done	Oct 3, 2024	Oct 3, 2024	Sprint 3	1
Background for scrimmage slides	aidancler24	Done	Oct 3, 2024	Oct 7, 2024	Sprint 3	
Requirements for slides	parkeramber	Done	Oct 3, 2024	Oct 7, 2024	Sprint 3	0.5
Camera Research	carlywingness	Done	Oct 3, 2024	Oct 3, 2024	Sprint 3	1.5
Summary for scrimmage slides	DiegoG185593	Done	Oct 3, 2024	Oct 7, 2024	Sprint 3	
Importance and Significance for scrimmage slides	JohnDT-MechE	Done	Oct 3, 2024	Oct 7, 2024	Sprint 3	
Email Jake and Diego about scheduling a tour	parkeramber	Done	Oct 2, 2024	Oct 4, 2024	Sprint 3	0.25
Email Jake and Diego PDR information	parkeramber	Done	Oct 2, 2024	Oct 6, 2024	Sprint 3	0.25
Edit Code for PDR to include individual tasks for each team member with hours	parkeramber	Done	Oct 1, 2024	Oct 11, 2024	Sprint 3	1
